#,title,videoUrl,videoId,publishedAt,position
1,Gharon Mein Seerat-un-Nabi ﷺ ki Taleem | Har Kaam ko Ibadat Banayein | Moulana Shura-ur-Rahman Sahab,https://www.youtube.com/watch?v=Ht0JRfRg3zI&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=1,Ht0JRfRg3zI,2026-04-01T04:30:12Z,0
2,Nabi ﷺ Ke Akhlaq-e-Azeema | Hazrat Anas (R.A) Ki 10 Saala Khidmat | Moulana Shuja-ur-Rahman Sahab,https://www.youtube.com/watch?v=p--obRpssaE&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=2,p--obRpssaE,2026-03-31T04:45:06Z,1
3,Dushmanon Ke Saath Nabi ﷺ Ka Akhlaq | Akhlaq-e-Azeema Kya Hai? | Moulana Shuja-ur-Rahman Talha Sahab,https://www.youtube.com/watch?v=KUaheHdbeSI&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=3,KUaheHdbeSI,2026-03-30T04:45:02Z,2
4,Nabi ﷺ ki Mohabbat Jaan se bhi Zyada Azeez | Ishq-e-Rasool ﷺ | Hazrat Moulana Jaabir Sahab,https://www.youtube.com/watch?v=aqYcJkmHiNA&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=4,aqYcJkmHiNA,2026-03-25T04:30:01Z,3
5,Nabi ﷺ par Quran ki Amanat ka Naazil hona | Insan ki Azmat | Ashraful Makhlooqat,https://www.youtube.com/watch?v=U648RZUPAgQ&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=5,U648RZUPAgQ,2026-03-24T04:30:19Z,4
6,Deen ki Baat Sunna aur Amal Karna | Hazrat Moulana Jaabir Sahab,https://www.youtube.com/watch?v=dT32DXfrk3g&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=6,dT32DXfrk3g,2026-03-23T04:30:33Z,5
7,Musalman Naujawan Aur Aaj Ka Muashra | Ehem Bayan | Hazrat Hafiz MD Jalaluddin Sahab,https://www.youtube.com/watch?v=fcdRP9YHSaI&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=7,fcdRP9YHSaI,2026-03-22T04:30:24Z,6
8,Padosiyon Aur Rishtedaron Ke Huqooq | Rahmatul Lil Aalameen ﷺ | Hazrat Hafiz MD Jalaluddin Sahab,https://www.youtube.com/watch?v=hG9BTLKnctM&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=8,hG9BTLKnctM,2026-03-21T04:30:20Z,7
9,"Namaz, Ghusl, Wudhu ke Faraiz aur Tareeqa | Humd | Makatib ka Jaiza | Manikbhandar | Gutpa",https://www.youtube.com/watch?v=hp5u_c14kQw&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=9,hp5u_c14kQw,2026-03-20T05:00:49Z,8
10,Rahmatullil'aalameen ﷺ | Tamam Jahano Ke Liye Rehmat | Hazrat Hafiz MD Jalaluddin Sahab,https://www.youtube.com/watch?v=9seFNO9TeRg&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=10,9seFNO9TeRg,2026-03-20T04:30:06Z,9
11,Waalidain ki Azmat | Azizam farhan sallamhu | Seerat un Nabi ﷺ Wa musaabaqah Makaatib-e-Quraaniya,https://www.youtube.com/watch?v=gxtW_UyODnE&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=11,gxtW_UyODnE,2025-11-14T08:45:03Z,10
12,Asli Taaliim kya hai | Seerat un Nabi ﷺ Wa musaabaqah Makaatib-e-Quraaniya - 24/08/2025,https://www.youtube.com/watch?v=eUktB6v911o&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=12,eUktB6v911o,2025-09-07T05:36:49Z,11
13,Seerat-un-Nabi ﷺ Ka Paigham | Hazrat Hafiz Mohammad Jalaluddin Sahab,https://www.youtube.com/watch?v=yhykzCj0a50&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=13,yhykzCj0a50,2025-09-05T10:30:42Z,12
14,Hazrat Moulana Jaabir Sahab Bayan | Seerat un Nabi ﷺ Wa musaabaqah Makaatib-e-Quraaniya - 24/08/25,https://www.youtube.com/watch?v=Wg-nRqzQZm0&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=14,Wg-nRqzQZm0,2025-09-05T10:30:31Z,13
15,Jalse ka Taaruf wa Pas e Manzar  | Seerat un Nabi ﷺ wa Musaabaqah Makaatib e Quraaniya - 24/08/2025,https://www.youtube.com/watch?v=Oj4WmybECkU&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=15,Oj4WmybECkU,2025-09-05T10:30:30Z,14
16,Moulana Shuja ur Rahman Sahab - dua | Seerat un Nabi ﷺ Wa musaabaqah Makaatib-e-Quraaniya - 24/08/25,https://www.youtube.com/watch?v=Y5fZvydtGZ0&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=16,Y5fZvydtGZ0,2025-09-05T10:30:30Z,15
17,"Hazrat Moulana Shuja ur Rahman Talha Sahab Bayan | Seerat un Nabi ﷺ, Makaatib-e-Quraaniya | 24/08/25",https://www.youtube.com/watch?v=Jvq8_YvMGsg&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=17,Jvq8_YvMGsg,2025-09-05T10:30:11Z,16
18,Maktab ki ahmiyat-o-zaroorat. by Qazi Muzzammil Sahab Bayan | jalsa Seerat un Nabi ﷺ manikbhandar,https://www.youtube.com/watch?v=92eiIrZiLfw&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=18,92eiIrZiLfw,2025-09-05T10:30:11Z,17
19,Hazrat Moulana Mahmood Sahab Naat | Seerat un Nabi ﷺ Wa musaabaqah Makaatib-e-Quraaniya - 24/08/25,https://www.youtube.com/watch?v=0IMY9HoqmYg&list=PLs25xY2yQukOVtg1CIaTk2yYyg7pXt-Kl&index=19,0IMY9HoqmYg,2025-09-05T10:30:00Z,18